numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.399, Time: 2.022684 s
         3497319 function calls (3381659 primitive calls) in 13.722 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.362    0.181 arrayobj.py:4256(_empty_nd_impl)
       21    0.000    0.000    0.358    0.017 codegen.py:741(add_llvm_module)
        1    0.000    0.000    0.358    0.358 arrayobj.py:4448(codegen)
        1    0.000    0.000    0.357    0.357 widgets.py:1(<module>)
        2    0.000    0.000    0.353    0.177 collections.py:1(<module>)
    13970    0.067    0.000    0.353    0.000 event.py:209(broadcast)
        2    0.000    0.000    0.353    0.176 _base.py:1(<module>)
      704    0.013    0.000    0.346    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
       21    0.004    0.000    0.344    0.016 codegen.py:653(_optimize_functions)
       67    0.000    0.000    0.343    0.005 __init__.py:707(__getattr__)
    23371    0.070    0.000    0.342    0.000 templates.py:1322(new_registrations)
263792/259785    0.329    0.000    0.339    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.335    0.168 rules.py:1(<module>)
      794    0.002    0.000    0.327    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
      794    0.007    0.000    0.325    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
136557/136441    0.220    0.000    0.324    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.324    0.324 rules.py:16(_init_casting_rules)
       46    0.001    0.000    0.323    0.007 castgraph.py:119(insert_rule)
     4676    0.013    0.000    0.320    0.000 ir.py:611(list_vars)
       46    0.044    0.001    0.318    0.007 castgraph.py:92(propagate)
        3    0.002    0.001    0.317    0.106 _internal.py:56(clone_module)
        1    0.001    0.001    0.313    0.313 rcsetup.py:1(<module>)
     1112    0.032    0.000    0.307    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
      322    0.006    0.000    0.304    0.001 _parser.py:969(parse)
     6089    0.024    0.000    0.300    0.000 ffi.py:83(__exit__)
 1024/322    0.011    0.000    0.295    0.001 _parser.py:452(_parse_sub)
 1256/349    0.078    0.000    0.289    0.001 _parser.py:512(_parse)
        6    0.000    0.000    0.288    0.048 lowering.py:292(create_cfunc_wrapper)
        6    0.001    0.000    0.288    0.048 cpu.py:193(create_cfunc_wrapper)
      227    0.103    0.000    0.288    0.001 artist.py:1511(get_setters)
       70    0.001    0.000    0.288    0.004 _util.py:1148(decorator)
     2248    0.028    0.000    0.285    0.000 base.py:352(install_registry)
       74    0.000    0.000    0.284    0.004 _docscrape.py:579(__init__)
     6985    0.031    0.000    0.282    0.000 event.py:404(end_event)
       68    0.001    0.000    0.282    0.004 module.py:243(__repr__)
       11    0.000    0.000    0.281    0.026 untyped_passes.py:79(run_pass)
       11    0.002    0.000    0.280    0.025 interpreter.py:1365(interpret)
        1    0.000    0.000    0.279    0.279 axes3d.py:1(<module>)
       68    0.001    0.000    0.277    0.004 module.py:217(_get_body_lines)
       22    0.005    0.000    0.272    0.012 registry.py:54(apply)
       11    0.001    0.000    0.272    0.025 typed_passes.py:228(run_pass)
        1    0.000    0.000    0.271    0.271 f2py2e.py:1(<module>)
    23332    0.103    0.000    0.270    0.000 event.py:243(notify)
     6081    0.016    0.000    0.269    0.000 base.py:1255(exit_fn)
      199    0.001    0.000    0.264    0.001 values.py:1017(__str__)
      199    0.001    0.000    0.263    0.001 values.py:1010(descr)
32279/30677    0.152    0.000    0.258    0.000 abstract.py:121(__hash__)
        9    0.000    0.000    0.256    0.028 _base.py:783(__init_subclass__)
25482/13572    0.065    0.000    0.251    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.247    0.247 capi_maps.py:1(<module>)
     6089    0.024    0.000    0.247    0.000 ffi.py:77(__enter__)
       11    0.001    0.000    0.244    0.022 untyped_passes.py:192(run_pass)
       74    0.001    0.000    0.241    0.003 _docscrape.py:140(__init__)
        1    0.000    0.000    0.239    0.239 crackfortran.py:1(<module>)
      292    0.008    0.000    0.238    0.001 context.py:811(load_additional_registries)
13374/5867    0.029    0.000    0.237    0.000 _utils.py:44(__str__)
       27    0.001    0.000    0.233    0.009 values.py:1003(descr_body)
      430    0.007    0.000    0.232    0.001 values.py:1176(descr)
       25    0.000    0.000    0.229    0.009 castgraph.py:131(unsafe)
        3    0.000    0.000    0.228    0.076 decorators.py:1(<module>)
     6985    0.031    0.000    0.225    0.000 event.py:390(start_event)
       12    0.000    0.000    0.224    0.019 codegen.py:1007(_finalize_specific)
  128/117    0.002    0.000    0.221    0.002 _docstring.py:122(__call__)
     3080    0.218    0.000    0.218    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.215    0.108 functions.py:390(get_call_type)
        2    0.000    0.000    0.215    0.108 templates.py:1137(generic)
     1089    0.004    0.000    0.214    0.000 inspect.py:3346(signature)
     6081    0.016    0.000    0.214    0.000 base.py:1252(enter_fn)
        3    0.000    0.000    0.214    0.071 templates.py:1083(_get_signature)
     5933    0.025    0.000    0.213    0.000 __init__.py:174(search)
    19124    0.093    0.000    0.212    0.000 utils.py:475(stream_list)
     3857    0.038    0.000    0.212    0.000 values.py:544(_to_string)
        3    0.000    0.000    0.212    0.071 lowering.py:279(create_cpython_wrapper)
        3    0.000    0.000    0.212    0.071 cpu.py:181(create_cpython_wrapper)
     1089    0.004    0.000    0.210    0.000 inspect.py:3081(from_callable)
        1    0.000    0.000    0.209    0.209 stencil.py:1(<module>)
1229/1089    0.019    0.000    0.206    0.000 inspect.py:2501(_signature_from_callable)
     3037    0.007    0.000    0.204    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      704    0.023    0.000    0.195    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
      322    0.004    0.000    0.188    0.001 _compiler.py:578(_code)
   131405    0.182    0.000    0.182    0.000 {method 'startswith' of 'str' objects}
     1090    0.013    0.000    0.181    0.000 extending.py:137(decorate)
       31    0.018    0.001    0.181    0.006 __init__.py:887(_rc_params_in_file)
       74    0.004    0.000    0.180    0.002 _docscrape.py:388(_parse)
        1    0.000    0.000    0.179    0.179 _fontconfig_pattern.py:1(<module>)
       10    0.000    0.000    0.173    0.017 typeconv.py:103(safe_unsafe)
       14    0.000    0.000    0.173    0.012 _docstring.py:73(__missing__)
        4    0.000    0.000    0.169    0.042 registry.py:1(<module>)
      704    0.168    0.000    0.168    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.166    0.166 dispatcher.py:1(<module>)
