LebwohlLasher.py: Size: 100, Steps: 10, T*: 0.500: Order: 0.276, Time: 4.300005 s
         3701604 function calls (3627276 primitive calls) in 51.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.038    0.038 common.py:1(<module>)
       10    0.037    0.004    0.037    0.004 {method 'encode' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.037    0.037 common.py:11(pyparsing_common)
        1    0.001    0.001    0.036    0.036 ExifTags.py:1(<module>)
     5830    0.024    0.000    0.036    0.000 enum.py:849(__setattr__)
     1536    0.020    0.000    0.036    0.000 font_manager.py:700(__hash__)
       19    0.001    0.000    0.036    0.002 rcsetup.py:814(validate_cycler)
  922/848    0.003    0.000    0.036    0.000 contextlib.py:132(__enter__)
      711    0.002    0.000    0.035    0.000 loader.py:67(feature_imported)
      111    0.035    0.000    0.035    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.035    0.035 contour.py:1(<module>)
     4042    0.021    0.000    0.035    0.000 enum.py:79(_is_private)
        1    0.000    0.000    0.035    0.035 pathlib.py:1(<module>)
      440    0.004    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
      810    0.008    0.000    0.034    0.000 transforms.py:1833(frozen)
    33612    0.034    0.000    0.034    0.000 {built-in method builtins.callable}
      711    0.002    0.000    0.033    0.000 feature.py:134(feature_imported)
    10236    0.033    0.000    0.033    0.000 {method 'search' of 're.Pattern' objects}
     3558    0.019    0.000    0.033    0.000 enum.py:38(_is_descriptor)
       48    0.004    0.000    0.033    0.001 ticker.py:666(format_data_short)
     3440    0.019    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.033    0.033 _char_codes.py:1(<module>)
       50    0.000    0.000    0.033    0.001 typing.py:521(__getitem__)
       94    0.003    0.000    0.033    0.000 text.py:157(_reset_visual_defaults)
        4    0.000    0.000    0.031    0.008 axis.py:1115(set_clip_path)
      197    0.003    0.000    0.031    0.000 colors.py:325(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.031    0.031 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.031    0.031 textpath.py:1(<module>)
       36    0.000    0.000    0.031    0.001 axis.py:1523(get_majorticklocs)
       13    0.000    0.000    0.031    0.002 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.031    0.003 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
     3151    0.019    0.000    0.031    0.000 _parser.py:312(_class_escape)
       52    0.002    0.000    0.031    0.001 feature.py:150(_mod_uses_pyside)
