full_vector_test#.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.267, Time: 4.033049 s
         2764173 function calls (2733146 primitive calls) in 12.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.090    0.090 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.089    0.089 _index_tricks_impl.py:1(<module>)
      326    0.002    0.000    0.089    0.000 artist.py:1237(set)
      984    0.004    0.000    0.089    0.000 artist.py:1536(is_alias)
        1    0.000    0.000    0.089    0.089 offsetbox.py:1(<module>)
    63262    0.088    0.000    0.088    0.000 {method 'append' of 'list' objects}
      317    0.086    0.000    0.086    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.086    0.086 layout.py:1(<module>)
       48    0.001    0.000    0.085    0.002 __init__.py:1406(_add_data_doc)
      426    0.083    0.000    0.083    0.000 {method 'read' of '_io.BufferedReader' objects}
      200    0.001    0.000    0.080    0.000 pyplot.py:175(_copy_docstring_and_deprecators)
      456    0.003    0.000    0.080    0.000 artist.py:1530(number_of_parameters)
        1    0.000    0.000    0.079    0.079 defmatrix.py:1(<module>)
      440    0.002    0.000    0.079    0.000 artist.py:1226(_internal_update)
        1    0.000    0.000    0.079    0.079 parser.py:1(<module>)
        1    0.000    0.000    0.077    0.077 _linalg.py:1(<module>)
      518    0.002    0.000    0.077    0.000 loader.py:67(feature_imported)
        1    0.000    0.000    0.076    0.076 parser.py:116(__init__)
      518    0.002    0.000    0.075    0.000 feature.py:134(feature_imported)
     4409    0.033    0.000    0.075    0.000 artist.py:1549(aliased_name)
    20143    0.050    0.000    0.074    0.000 _parser.py:261(get)
       86    0.001    0.000    0.073    0.001 text.py:104(__init__)
  328/215    0.001    0.000    0.072    0.000 typing.py:392(inner)
       38    0.002    0.000    0.072    0.002 feature.py:150(_mod_uses_pyside)
    15842    0.046    0.000    0.071    0.000 __init__.py:701(_get)
        1    0.000    0.000    0.070    0.070 colorizer.py:1(<module>)
       38    0.032    0.001    0.070    0.002 backend_agg.py:248(_prepare_font)
       38    0.000    0.000    0.070    0.002 inspect.py:1279(getsource)
     5761    0.028    0.000    0.069    0.000 {built-in method builtins.any}
       38    0.000    0.000    0.068    0.002 inspect.py:1258(getsourcelines)
      426    0.005    0.000    0.068    0.000 rcsetup.py:332(validate_color)
       19    0.001    0.000    0.067    0.004 rcsetup.py:814(validate_cycler)
35238/35204    0.058    0.000    0.067    0.000 {built-in method builtins.hasattr}
       38    0.000    0.000    0.066    0.002 inspect.py:1070(findsource)
      643    0.004    0.000    0.066    0.000 colors.py:224(is_color_like)
       33    0.000    0.000    0.065    0.002 linecache.py:36(getlines)
       32    0.001    0.000    0.065    0.002 linecache.py:83(updatecache)
      100    0.001    0.000    0.065    0.001 pyplot.py:208(_add_pyplot_note)
    16336    0.043    0.000    0.064    0.000 _parser.py:168(__getitem__)
      894    0.007    0.000    0.062    0.000 colors.py:278(to_rgba)
        4    0.000    0.000    0.060    0.015 axis.py:2223(_get_tick_boxes_siblings)
