LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.404, Time: 2.910881 s
         1506055 function calls (1489000 primitive calls) in 5.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 case.py:1(<module>)
        1    0.000    0.000    0.007    0.007 plistlib.py:1(<module>)
    10383    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
      642    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:162(__enter__)
       44    0.000    0.000    0.007    0.000 core.py:4843(<genexpr>)
      230    0.001    0.000    0.007    0.000 overrides.py:85(verify_matching_signatures)
        1    0.000    0.000    0.007    0.007 _internal.py:1(<module>)
        1    0.000    0.000    0.007    0.007 ExifTags.py:21(Base)
       28    0.001    0.000    0.007    0.000 _docstring.py:79(<genexpr>)
     1574    0.002    0.000    0.007    0.000 typing.py:1215(__setattr__)
     7567    0.007    0.000    0.007    0.000 {method 'expandtabs' of 'str' objects}
      448    0.002    0.000    0.007    0.000 enum.py:1561(__and__)
      356    0.002    0.000    0.007    0.000 inspect.py:801(_finddoc)
     1248    0.001    0.000    0.007    0.000 {built-in method _abc._abc_instancecheck}
      310    0.002    0.000    0.007    0.000 function_base.py:486(add_newdoc)
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
       21    0.001    0.000    0.007    0.000 typing.py:2814(__new__)
       44    0.002    0.000    0.007    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.007    0.007 layout_engine.py:1(<module>)
        2    0.000    0.000    0.006    0.003 __init__.py:12(__getattr__)
        1    0.000    0.000    0.006    0.006 _add_newdocs.py:1(<module>)
 4310/959    0.006    0.000    0.006    0.000 __init__.py:368(recursive_subclasses)
        1    0.000    0.000    0.006    0.006 _tripcolor.py:1(<module>)
     9256    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.006    0.006 tempfile.py:1(<module>)
       24    0.000    0.000    0.006    0.000 typing.py:1288(__or__)
     5508    0.004    0.000    0.006    0.000 {built-in method builtins.setattr}
     3279    0.004    0.000    0.006    0.000 inspect.py:3076(<genexpr>)
        1    0.000    0.000    0.006    0.006 pickle.py:1(<module>)
      694    0.003    0.000    0.006    0.000 inspect.py:176(get_annotations)
 1703/193    0.002    0.000    0.006    0.000 <frozen abc>:121(__subclasscheck__)
      642    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:372(release)
       21    0.000    0.000    0.006    0.000 typing.py:2795(_make_nmtuple)
 1418/446    0.004    0.000    0.006    0.000 _parser.py:178(getwidth)
 1703/193    0.004    0.000    0.006    0.000 {built-in method _abc._abc_subclasscheck}
     1901    0.003    0.000    0.006    0.000 typing.py:1161(_is_dunder)
        1    0.000    0.000    0.006    0.006 parse.py:1(<module>)
     2866    0.004    0.000    0.006    0.000 _parser.py:176(append)
       14    0.000    0.000    0.006    0.000 core.py:121(doc_note)
       30    0.000    0.000    0.005    0.000 typing.py:1589(copy_with)
     7919    0.005    0.000    0.005    0.000 _parser.py:240(__next)
        7    0.000    0.000    0.005    0.001 enum.py:862(_create_)
      790    0.003    0.000    0.005    0.000 inspect.py:754(unwrap)
        1    0.000    0.000    0.005    0.005 backend_tools.py:1(<module>)
        1    0.000    0.000    0.005    0.005 transforms.py:1(<module>)
     8970    0.005    0.000    0.005    0.000 inspect.py:2796(name)
     2804    0.003    0.000    0.005    0.000 _parser.py:164(__len__)
     7345    0.005    0.000    0.005    0.000 enum.py:1128(__new__)
      509    0.001    0.000    0.005    0.000 _inspect.py:97(getargspec)
     10/3    0.000    0.000    0.005    0.002 unicode.py:14(__get__)
      161    0.000    0.000    0.005    0.000 inspect.py:3097(replace)
     7323    0.005    0.000    0.005    0.000 {method 'isidentifier' of 'str' objects}
   274/19    0.001    0.000    0.005    0.000 ast.py:403(visit)
        1    0.000    0.000    0.005    0.005 difflib.py:1(<module>)
     2686    0.003    0.000    0.005    0.000 util.py:217(__call__)
        1    0.000    0.000    0.005    0.005 numerictypes.py:1(<module>)
   274/19    0.002    0.000    0.005    0.000 ast.py:409(generic_visit)
        1    0.000    0.000    0.005    0.005 ImagePalette.py:1(<module>)
      642    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
      344    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
     7090    0.005    0.000    0.005    0.000 {method '__contains__' of 'frozenset' objects}
