LebwohlLasher2.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.357, Time: 9.907009 s
         1534821 function calls (1517766 primitive calls) in 10.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.050    0.050 Image.py:1(<module>)
      410    0.013    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
    10233    0.046    0.000    0.046    0.000 {method 'search' of 're.Pattern' objects}
       48    0.000    0.000    0.044    0.001 __init__.py:1406(_add_data_doc)
        1    0.000    0.000    0.044    0.044 colorizer.py:1(<module>)
        1    0.000    0.000    0.042    0.042 legend.py:1(<module>)
    32311    0.042    0.000    0.042    0.000 {built-in method builtins.callable}
       46    0.000    0.000    0.042    0.001 core.py:3532(mayReturnEmpty)
    48/27    0.000    0.000    0.042    0.002 functools.py:982(__get__)
    42/21    0.000    0.000    0.042    0.002 core.py:3500(re)
        1    0.000    0.000    0.041    0.041 font_manager.py:1(<module>)
        1    0.000    0.000    0.041    0.041 _secondary_axes.py:1(<module>)
       19    0.001    0.000    0.041    0.002 rcsetup.py:814(validate_cycler)
        1    0.000    0.000    0.041    0.041 common.py:1(<module>)
16889/16855    0.027    0.000    0.040    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.040    0.040 axis3d.py:1(<module>)
     8527    0.027    0.000    0.040    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.039    0.039 common.py:11(pyparsing_common)
      229    0.005    0.000    0.039    0.000 typing.py:1269(__init__)
       41    0.003    0.000    0.036    0.001 enum.py:528(__new__)
        1    0.000    0.000    0.036    0.036 _fontconfig_pattern.py:55(_make_fontconfig_parser)
3203/2724    0.009    0.000    0.035    0.000 {built-in method __new__ of type object at 0xad78cf169a68}
        1    0.001    0.001    0.035    0.035 ExifTags.py:1(<module>)
        1    0.000    0.000    0.033    0.033 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.033    0.033 _char_codes.py:1(<module>)
       50    0.000    0.000    0.033    0.001 typing.py:521(__getitem__)
      698    0.015    0.000    0.033    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.032    0.032 category.py:1(<module>)
        1    0.000    0.000    0.032    0.032 artist.py:1(<module>)
       64    0.001    0.000    0.032    0.000 core.py:1610(__add__)
    43/39    0.000    0.000    0.031    0.001 <frozen importlib._bootstrap_external>:1299(exec_module)
      456    0.031    0.000    0.031    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.031    0.031 _tricontour.py:1(<module>)
     3209    0.018    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    43/39    0.013    0.000    0.031    0.001 {built-in method _imp.exec_dynamic}
       65    0.001    0.000    0.030    0.000 core.py:4495(__init__)
       50    0.004    0.000    0.030    0.001 typing.py:753(Literal)
      349    0.007    0.000    0.029    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     2703    0.016    0.000    0.029    0.000 cbook.py:468(_strip_comment)
        1    0.004    0.004    0.028    0.028 helpers.py:1(<module>)
      642    0.008    0.000    0.028    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.027    0.027 _parser.py:1(<module>)
      113    0.003    0.000    0.027    0.000 rcsetup.py:99(f)
      479    0.012    0.000    0.027    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.026    0.026 numerictypes.py:1(<module>)
     6459    0.016    0.000    0.025    0.000 _parser.py:261(get)
      602    0.007    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
    94/89    0.000    0.000    0.025    0.000 typing.py:515(__getitem__)
        1    0.000    0.000    0.025    0.025 table.py:1(<module>)
      220    0.001    0.000    0.025    0.000 {built-in method builtins.any}
       89    0.001    0.000    0.024    0.000 typing.py:694(Union)
       63    0.007    0.000    0.024    0.000 {built-in method builtins.eval}
       12    0.000    0.000    0.024    0.002 core.py:1274(parse_string)
      583    0.008    0.000    0.024    0.000 enum.py:390(__setitem__)
      363    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.024    0.024 pathlib.py:1(<module>)
      146    0.001    0.000    0.024    0.000 {built-in method builtins.all}
    85/30    0.001    0.000    0.024    0.001 typing.py:1294(__getitem__)
      265    0.002    0.000    0.023    0.000 overrides.py:144(decorator)
       15    0.000    0.000    0.023    0.002 core.py:1770(__or__)
     9213    0.023    0.000    0.023    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.023    0.023 __init__.py:245(_check_versions)
        1    0.000    0.000    0.023    0.023 _array_like.py:1(<module>)
       15    0.000    0.000    0.023    0.002 core.py:4838(__init__)
      410    0.023    0.000    0.023    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.022    0.022 testing.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _tripcolor.py:1(<module>)
      261    0.002    0.000    0.022    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
      141    0.000    0.000    0.021    0.000 core.py:4523(<genexpr>)
        1    0.000    0.000    0.021    0.021 _dtype_like.py:1(<module>)
        3    0.000    0.000    0.021    0.007 exceptions.py:1(<module>)
       44    0.000    0.000    0.021    0.000 core.py:4843(<genexpr>)
        7    0.000    0.000    0.021    0.003 __init__.py:73(import_module)
        7    0.000    0.000    0.021    0.003 <frozen importlib._bootstrap>:1375(_gcd_import)
       64    0.003    0.000    0.020    0.000 deprecation.py:414(make_keyword_only)
        1    0.000    0.000    0.020    0.020 texmanager.py:1(<module>)
        2    0.000    0.000    0.020    0.010 version.py:1(<module>)
        8    0.000    0.000    0.020    0.002 core.py:6454(__init__)
        1    0.000    0.000    0.020    0.020 mathtext.py:1(<module>)
     28/7    0.000    0.000    0.019    0.003 core.py:5163(leave_whitespace)
      224    0.005    0.000    0.019    0.000 _compiler.py:516(_compile_info)
        1    0.000    0.000    0.019    0.019 cm.py:32(_gen_cmap_registry)
    11969    0.018    0.000    0.019    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.018    0.018 inset.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _machar.py:1(<module>)
      445    0.002    0.000    0.018    0.000 core.py:575(copy)
       24    0.006    0.000    0.018    0.001 util.py:242(_collapse_string_to_ranges)
        1    0.000    0.000    0.018    0.018 fractions.py:1(<module>)
      645    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:632(cached)
      233    0.008    0.000    0.018    0.000 typing.py:262(_collect_parameters)
      356    0.004    0.000    0.017    0.000 inspect.py:801(_finddoc)
        1    0.000    0.000    0.017    0.017 socket.py:1(<module>)
       64    0.001    0.000    0.017    0.000 util.py:450(replaced_by_pep8)
       51    0.008    0.000    0.017    0.000 _linalg.py:1383(eig)
      279    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       19    0.000    0.000    0.017    0.001 rcsetup.py:677(cycler)
   306/12    0.003    0.000    0.017    0.001 core.py:916(_parseNoCache)
      445    0.005    0.000    0.016    0.000 copy.py:61(copy)
        7    0.002    0.000    0.016    0.002 enum.py:918(_convert_)
    72/12    0.001    0.000    0.016    0.001 core.py:4605(parseImpl)
      344    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
        1    0.000    0.000    0.016    0.016 hashlib.py:1(<module>)
      457    0.005    0.000    0.016    0.000 typing.py:175(_type_check)
     7567    0.016    0.000    0.016    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.016    0.016 _mathtext.py:1(<module>)
      448    0.004    0.000    0.016    0.000 enum.py:1561(__and__)
       39    0.001    0.000    0.016    0.000 colors.py:1081(from_list)
     4584    0.010    0.000    0.016    0.000 {built-in method builtins.sorted}
     59/7    0.001    0.000    0.015    0.002 core.py:4325(leave_whitespace)
    10383    0.015    0.000    0.015    0.000 {method 'pop' of 'list' objects}
   129/61    0.001    0.000    0.015    0.000 core.py:4422(copy)
     1248    0.003    0.000    0.015    0.000 <frozen abc>:117(__instancecheck__)
      301    0.012    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
        1    0.000    0.000    0.015    0.015 LebwohlLasher2.py:33(initdat)
      790    0.008    0.000    0.015    0.000 inspect.py:754(unwrap)
       44    0.005    0.000    0.014    0.000 __init__.py:355(namedtuple)
       21    0.001    0.000    0.014    0.001 typing.py:2814(__new__)
        1    0.000    0.000    0.014    0.014 subprocess.py:1(<module>)
    85/30    0.001    0.000    0.014    0.000 typing.py:1326(_determine_new_args)
        7    0.001    0.000    0.014    0.002 enum.py:862(_create_)
       14    0.000    0.000    0.014    0.001 core.py:121(doc_note)
        7    0.000    0.000    0.014    0.002 core.py:3167(__init__)
      694    0.007    0.000    0.014    0.000 inspect.py:176(get_annotations)
        1    0.000    0.000    0.013    0.013 fromnumeric.py:1(<module>)
    85/30    0.002    0.000    0.013    0.000 typing.py:1355(_make_substitution)
     2866    0.008    0.000    0.013    0.000 _parser.py:176(append)
     8970    0.013    0.000    0.013    0.000 inspect.py:2796(name)
       21    0.000    0.000    0.013    0.001 typing.py:2795(_make_nmtuple)
     3279    0.009    0.000    0.013    0.000 inspect.py:3076(<genexpr>)
     5508    0.010    0.000    0.013    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.012    0.012 spines.py:1(<module>)
 1418/446    0.008    0.000    0.012    0.000 _parser.py:178(getwidth)
       28    0.001    0.000    0.012    0.000 _docstring.py:79(<genexpr>)
     1248    0.002    0.000    0.012    0.000 {built-in method _abc._abc_instancecheck}
      642    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:162(__enter__)
     6195    0.012    0.000    0.012    0.000 {method 'group' of 're.Match' objects}
     1574    0.004    0.000    0.012    0.000 typing.py:1215(__setattr__)
        1    0.000    0.000    0.012    0.012 version.py:310(Version)
     9256    0.012    0.000    0.012    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.012    0.006 __init__.py:12(__getattr__)
      230    0.002    0.000    0.012    0.000 overrides.py:85(verify_matching_signatures)
        1    0.000    0.000    0.012    0.012 scale.py:1(<module>)
        1    0.000    0.000    0.012    0.012 axes3d.py:41(Axes3D)
     2804    0.008    0.000    0.012    0.000 _parser.py:164(__len__)
        1    0.000    0.000    0.011    0.011 dviread.py:1(<module>)
        1    0.000    0.000    0.011    0.011 extras.py:1(<module>)
       63    0.003    0.000    0.011    0.000 inspect.py:3300(__str__)
     7919    0.011    0.000    0.011    0.000 _parser.py:240(__next)
     7345    0.011    0.000    0.011    0.000 enum.py:1128(__new__)
     7467    0.011    0.000    0.011    0.000 inspect.py:2808(kind)
     7323    0.011    0.000    0.011    0.000 {method 'isidentifier' of 'str' objects}
      161    0.001    0.000    0.011    0.000 inspect.py:3097(replace)
        1    0.000    0.000    0.011    0.011 ExifTags.py:21(Base)
 4310/959    0.010    0.000    0.011    0.000 __init__.py:368(recursive_subclasses)
   274/19    0.001    0.000    0.011    0.001 ast.py:403(visit)
        1    0.000    0.000    0.011    0.011 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.011    0.011 printoptions.py:1(<module>)
   274/19    0.003    0.000    0.011    0.001 ast.py:409(generic_visit)
 1703/193    0.004    0.000    0.010    0.000 <frozen abc>:121(__subclasscheck__)
      310    0.003    0.000    0.010    0.000 function_base.py:486(add_newdoc)
       24    0.000    0.000    0.010    0.000 typing.py:1288(__or__)
        1    0.010    0.010    0.010    0.010 _string_helpers.py:1(<module>)
      410    0.010    0.000    0.010    0.000 {built-in method _io.open_code}
      541    0.002    0.000    0.010    0.000 __init__.py:164(match)
      642    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.010    0.010 _add_newdocs.py:1(<module>)
     2686    0.007    0.000    0.010    0.000 util.py:217(__call__)
 1703/193    0.006    0.000    0.010    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.010    0.010 core.py:397(ParserElement)
        3    0.000    0.000    0.010    0.003 _fontconfig_pattern.py:57(comma_separated)
        1    0.000    0.000    0.010    0.010 plistlib.py:1(<module>)
        2    0.000    0.000    0.010    0.005 dataclasses.py:1264(wrap)
        2    0.001    0.000    0.010    0.005 dataclasses.py:921(_process_class)
     7090    0.010    0.000    0.010    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.009    0.009 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.009    0.009 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.009    0.009 <frozen ntpath>:1(<module>)
      208    0.005    0.000    0.009    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.009    0.009 parse.py:1(<module>)
        1    0.000    0.000    0.009    0.009 shutil.py:1(<module>)
     22/3    0.001    0.000    0.009    0.003 core.py:4536(streamline)
     10/3    0.000    0.000    0.009    0.003 unicode.py:14(__get__)
        1    0.000    0.000    0.009    0.009 colorbar.py:1(<module>)
     1901    0.005    0.000    0.009    0.000 typing.py:1161(_is_dunder)
      631    0.003    0.000    0.009    0.000 _compiler.py:403(_simple)
     1368    0.006    0.000    0.009    0.000 enum.py:1543(_get_value)
        1    0.000    0.000    0.009    0.009 _methods.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _internal.py:1(<module>)
      509    0.002    0.000    0.009    0.000 _inspect.py:97(getargspec)
       30    0.000    0.000    0.009    0.000 typing.py:1589(copy_with)
     5540    0.009    0.000    0.009    0.000 {method 'find' of 'str' objects}
      738    0.003    0.000    0.009    0.000 {built-in method builtins.max}
