run_Cython_1.py: Size: 50, Steps: 10, T*: 0.500: Order: 0.253, Time: 0.129703 s
         1710736 function calls (1679355 primitive calls) in 3.097 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6877    0.025    0.000    0.051    0.000 inspect.py:2743(__init__)
     5099    0.018    0.000    0.050    0.000 __init__.py:147(check_shape)
      695    0.010    0.000    0.050    0.000 inspect.py:2397(_signature_from_function)
    49/47    0.000    0.000    0.050    0.001 <frozen importlib._bootstrap_external>:1291(create_module)
    49/47    0.026    0.001    0.049    0.001 {built-in method _imp.create_dynamic}
    20143    0.036    0.000    0.049    0.000 _parser.py:261(get)
    15553    0.020    0.000    0.049    0.000 __init__.py:781(__getitem__)
  328/215    0.001    0.000    0.048    0.000 typing.py:392(inner)
     5096    0.013    0.000    0.047    0.000 path.py:202(_update_values)
        1    0.000    0.000    0.047    0.047 offsetbox.py:1(<module>)
       18    0.000    0.000    0.046    0.003 axis.py:367(__init__)
       18    0.000    0.000    0.045    0.003 axis.py:428(__init__)
    66699    0.044    0.000    0.044    0.000 {built-in method builtins.min}
       28    0.000    0.000    0.043    0.002 axis.py:1606(_copy_tick_props)
        1    0.000    0.000    0.043    0.043 axis.py:1(<module>)
      100    0.001    0.000    0.043    0.000 pyplot.py:208(_add_pyplot_note)
        2    0.000    0.000    0.043    0.021 core.py:198(read_style_directory)
      264    0.001    0.000    0.043    0.000 markers.py:220(__init__)
        2    0.000    0.000    0.042    0.021 _base.py:1445(clear)
        2    0.000    0.000    0.042    0.021 _base.py:1313(__clear)
       94    0.002    0.000    0.042    0.000 __init__.py:1450(_preprocess_data)
      264    0.001    0.000    0.040    0.000 markers.py:299(_set_marker)
        1    0.000    0.000    0.040    0.040 polar.py:1(<module>)
    63144    0.039    0.000    0.039    0.000 {method 'append' of 'list' objects}
       84    0.000    0.000    0.039    0.000 lines.py:1352(update_from)
      317    0.004    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
      984    0.002    0.000    0.039    0.000 artist.py:1536(is_alias)
        1    0.000    0.000    0.038    0.038 lines.py:1(<module>)
        1    0.000    0.000    0.038    0.038 cm.py:1(<module>)
       52    0.001    0.000    0.037    0.001 backend_bases.py:1266(__init__)
35196/35162    0.024    0.000    0.037    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.035    0.018 collections.py:1005(draw)
  4144/84    0.015    0.000    0.035    0.000 copy.py:118(deepcopy)
        2    0.035    0.018    0.035    0.018 collections.py:352(draw)
      456    0.001    0.000    0.035    0.000 artist.py:1530(number_of_parameters)
   252/84    0.003    0.000    0.034    0.000 copy.py:217(_deepcopy_dict)
      317    0.034    0.000    0.034    0.000 {built-in method marshal.loads}
     5761    0.014    0.000    0.033    0.000 {built-in method builtins.any}
       46    0.001    0.000    0.032    0.001 backend_bases.py:1384(__init__)
       52    0.000    0.000    0.032    0.001 backend_bases.py:1805(inaxes)
        2    0.002    0.001    0.032    0.016 backend_qt.py:584(__init__)
      526    0.006    0.000    0.032    0.000 artist.py:1188(_update_props)
        1    0.000    0.000    0.031    0.031 multiarray.py:1(<module>)
       52    0.000    0.000    0.031    0.001 patches.py:179(contains_point)
      108    0.003    0.000    0.031    0.000 lines.py:301(__init__)
1398/1394    0.005    0.000    0.031    0.000 cbook.py:348(process)
    16336    0.020    0.000    0.031    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.030    0.030 Image.py:1(<module>)
    15880    0.019    0.000    0.029    0.000 __init__.py:701(_get)
      326    0.001    0.000    0.029    0.000 artist.py:146(<lambda>)
      326    0.001    0.000    0.029    0.000 artist.py:1237(set)
        1    0.000    0.000    0.028    0.028 axis3d.py:1(<module>)
     4409    0.012    0.000    0.028    0.000 artist.py:1549(aliased_name)
      440    0.001    0.000    0.027    0.000 artist.py:1226(_internal_update)
       48    0.000    0.000    0.026    0.001 __init__.py:1406(_add_data_doc)
        2    0.000    0.000    0.025    0.012 backend_bases.py:2611(__init__)
        1    0.000    0.000    0.024    0.024 quiver.py:1(<module>)
        2    0.002    0.001    0.024    0.012 backend_qt.py:693(__init__)
       86    0.000    0.000    0.024    0.000 text.py:104(__init__)
